Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,12.08,12.56,11.86,12.22,12.22,40213414
2020-04-17,12.71,12.77,12.26,12.56,12.56,60483800
2020-04-16,12.14,12.29,11.37,11.85,11.85,57047600
2020-04-15,11.88,12.43,11.57,12.38,12.38,55875300
2020-04-14,12.46,13.19,12.17,12.51,12.51,79840100
2020-04-13,11.77,11.82,10.95,11.5,11.5,77438800
2020-04-09,12.91,13.73,11.92,12.42,12.42,145266500
2020-04-08,11.86,12.19,11.36,11.99,11.99,108041200
2020-04-07,12.35,12.95,11.05,11.3,11.3,185454300
2020-04-06,9.28,10.96,9.14,10.21,10.21,195697600
2020-04-03,8.29,8.74,8.02,8.49,8.49,124436200
2020-04-02,8.01,8.53,7.8,7.97,7.97,262061100
2020-04-01,12.6,12.61,8.61,8.8,8.8,182979300
2020-03-31,10.95,14.55,10.95,13.17,13.17,112205700
2020-03-30,13.44,13.47,11.71,12.8,12.8,46165600
2020-03-27,16.0,16.16,14.05,14.41,14.41,64592400
2020-03-26,15.5,19.14,15.05,17.82,17.82,97446600
2020-03-25,15.05,17.07,13.12,15.55,15.55,78051700
2020-03-24,14.06,16.68,13.1,13.68,13.68,65012400
2020-03-23,11.27,12.45,10.61,12.0,12.0,52551800
2020-03-20,11.09,13.81,10.6,12.0,12.0,80096400
2020-03-19,9.13,10.4,8.6,10.0,10.0,52662000
2020-03-18,11.16,11.55,7.9,9.3,9.3,69931000
2020-03-17,14.77,14.89,12.08,12.71,12.71,41578700
2020-03-16,15.05,17.9,14.5,14.57,14.57,50744900
2020-03-13,18.34,18.46,15.01,17.58,17.58,55565800
2020-03-12,17.91,22.5,14.7,14.97,14.97,47752900
2020-03-11,22.89,23.7,20.41,21.75,21.75,38235000
2020-03-10,23.51,24.18,20.2,24.02,24.02,45551300
2020-03-09,24.44,24.75,21.51,21.74,21.74,33764200
2020-03-06,26.91,29.3,26.1,27.15,27.15,29767800
2020-03-05,30.91,30.91,27.65,27.87,27.87,33085000
2020-03-04,32.25,32.46,30.9,32.46,32.46,19503500
